id,descriptions,mitigation_steps,attack_types
0,"My insulin pump has been working fine, but lately, I've noticed Traffic was observed with the following characteristics: Header length of 36043.6 bytes, using the 6.0 protocol. The connection duration was 64.0 seconds with a rate of 1.3366900608925942 bytes per second, and source rate 1.3366900608925942 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 1.0 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 466.5. TCP traffic is present (1.0), UDP traffic is present (0.0), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 413.7, minimum value of 66.0, maximum value of 85.8, average of 74.4020238095238, standard deviation of 9.176143913768222, total size of 76.3 bytes, inter-arrival time of 7.359981536865234e-05 microseconds, number of packets 5.5, magnitude 12.1959306758997, radius 12.97702717313835, covariance 93.66396697845803, variance 0.9, and weight 38.5.. I'm not sure if it's just a glitch, but it's making me anxious. What should I do?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
1,"My insulin pump has been working fine, but lately, I've noticed Traffic was observed with the following characteristics: Header length of 55809.2 bytes, using the 6.0 protocol. The connection duration was 64.0 seconds with a rate of 2.039491239503296 bytes per second, and source rate 2.039491239503296 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 1.0 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 695.9. TCP traffic is present (1.0), UDP traffic is present (0.0), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 465.0, minimum value of 70.5, maximum value of 111.0, average of 88.26876984126984, standard deviation of 17.645164645755735, total size of 80.3 bytes, inter-arrival time of 0.0998398065567016 microseconds, number of packets 5.5, magnitude 13.27170158625113, radius 24.95403115233401, covariance 349.27907084593096, variance 0.9, and weight 38.5.. I'm not sure if it's just a glitch, but it's making me anxious. What should I do?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
2,"I've been using my heart monitor regularly, but recently Traffic was observed with the following characteristics: Header length of 23949.1 bytes, using the 6.0 protocol. The connection duration was 64.0 seconds with a rate of 0.8642872356077327 bytes per second, and source rate 0.8642872356077327 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 1.0 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 306.4. TCP traffic is present (1.0), UDP traffic is present (0.0), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 1036.0, minimum value of 66.0, maximum value of 79.0, average of 66.86940282412806, standard deviation of 3.230469540968304, total size of 66.0 bytes, inter-arrival time of 169470342.05125982 microseconds, number of packets 13.5, magnitude 11.564836674046356, radius 4.578413243267052, covariance 10.558061828027574, variance 1.0, and weight 244.6.. It’s been functioning normally otherwise, but this seems off. Should I be worried?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
3,"I've been using my glucose meter regularly, but recently Traffic was observed with the following characteristics: Header length of 356048.3 bytes, using the 8.2 protocol. The connection duration was 76.8 seconds with a rate of 1.334679565536096 bytes per second, and source rate 1.334679565536096 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 0.8 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 4502.2. TCP traffic is present (0.8), UDP traffic is present (0.2), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 1296.9, minimum value of 66.0, maximum value of 165.0, average of 83.0904316289146, standard deviation of 25.640625144609448, total size of 93.9 bytes, inter-arrival time of 169469820.74475488 microseconds, number of packets 13.5, magnitude 12.895585826009292, radius 36.36121493553036, covariance 808.829354449484, variance 1.0, and weight 244.6.. It’s been functioning normally otherwise, but this seems off. Should I be worried?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
4,"My connected thermometer has been working fine, but lately, I've noticed Traffic was observed with the following characteristics: Header length of 50885.4 bytes, using the 6.0 protocol. The connection duration was 64.0 seconds with a rate of 0.7224954442555924 bytes per second, and source rate 0.7224954442555924 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 1.0 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 680.7. TCP traffic is present (1.0), UDP traffic is present (0.0), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 1231.6, minimum value of 66.0, maximum value of 111.0, average of 79.5974583199738, standard deviation of 15.43428957222101, total size of 75.3 bytes, inter-arrival time of 169470700.15181908 microseconds, number of packets 13.5, magnitude 12.622227768528695, radius 21.840060202782404, covariance 238.9747667269973, variance 1.0, and weight 244.6.. I'm not sure if it's just a glitch, but it's making me anxious. What should I do?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
5,"My glucose meter has been working fine, but lately, I've noticed Traffic was observed with the following characteristics: Header length of 30615.9 bytes, using the 6.0 protocol. The connection duration was 62.1 seconds with a rate of 1.1849859483156022 bytes per second, and source rate 1.1849859483156022 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 1.0 ACK flags. The SYN packet count is 0.3, FIN packet count is 0.0, and RST packet count is 378.0. TCP traffic is present (1.0), UDP traffic is present (0.0), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 424.8, minimum value of 66.0, maximum value of 92.7, average of 75.94833333333334, standard deviation of 10.896138067332409, total size of 78.6 bytes, inter-arrival time of 0.082951283454895 microseconds, number of packets 5.5, magnitude 12.320648405617252, radius 15.409466232311257, covariance 133.4321626984127, variance 0.9, and weight 38.5.. I'm not sure if it's just a glitch, but it's making me anxious. What should I do?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
6,"My glucose meter has been working fine, but lately, I've noticed Traffic was observed with the following characteristics: Header length of 300014.1 bytes, using the 6.0 protocol. The connection duration was 64.0 seconds with a rate of 1.3334337429474274 bytes per second, and source rate 1.3334337429474274 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 1.0 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 3882.7. TCP traffic is present (1.0), UDP traffic is present (0.0), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 1356.7, minimum value of 54.0, maximum value of 260.0, average of 87.93830037781277, standard deviation of 47.85747105083395, total size of 76.3 bytes, inter-arrival time of 169470597.6491637 microseconds, number of packets 13.5, magnitude 13.259661025435374, radius 67.83489140228218, covariance 2316.5371781393783, variance 1.0, and weight 244.6.. I'm not sure if it's just a glitch, but it's making me anxious. What should I do?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
7,"I've been using my smart inhaler regularly, but recently Traffic was observed with the following characteristics: Header length of 157135.0 bytes, using the 17.0 protocol. The connection duration was 60.0 seconds with a rate of 189.20555400797136 bytes per second, and source rate 189.20555400797136 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 0.0 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 0.0. TCP traffic is present (0.0), UDP traffic is present (1.0), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 20026.0, minimum value of 1292.0, maximum value of 1292.0, average of 1292.0, standard deviation of 0.0, total size of 1292.0 bytes, inter-arrival time of 169470670.5605292 microseconds, number of packets 13.5, magnitude 50.83306010855534, radius 0.0, covariance 0.0, variance 0.0, and weight 244.6.. It’s been functioning normally otherwise, but this seems off. Should I be worried?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
8,"My heart monitor has been working fine, but lately, I've noticed Traffic was observed with the following characteristics: Header length of 18126.8 bytes, using the 8.2 protocol. The connection duration was 69.9 seconds with a rate of 1.3099290539680206 bytes per second, and source rate 1.3099290539680206 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 0.8 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 211.4. TCP traffic is present (0.8), UDP traffic is present (0.2), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 999.0, minimum value of 67.9, maximum value of 593.8, average of 157.9734126984127, standard deviation of 178.6293406987195, total size of 175.5 bytes, inter-arrival time of 0.1009424209594726 microseconds, number of packets 5.5, magnitude 17.311876250791375, radius 252.62003625389343, covariance 52062.34764014866, variance 0.9, and weight 38.5.. I'm not sure if it's just a glitch, but it's making me anxious. What should I do?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
9,"My heart monitor has been working fine, but lately, I've noticed Traffic was observed with the following characteristics: Header length of 281505.2 bytes, using the 7.1 protocol. The connection duration was 70.4 seconds with a rate of 1.8374398384866943 bytes per second, and source rate 1.8374398384866943 bytes per second. The packet contains 0.0 SYN flags, 0.0 RST flags, and 0.9 ACK flags. The SYN packet count is 0.0, FIN packet count is 0.0, and RST packet count is 3432.9. TCP traffic is present (0.9), UDP traffic is present (0.1), ICMP traffic is present (0.0), IPv traffic is present (1.0), and LLC traffic is present (1.0). Statistical measures include a total sum of 664.2, minimum value of 66.0, maximum value of 314.4, average of 126.52373015873016, standard deviation of 93.43540964554472, total size of 106.3 bytes, inter-arrival time of 0.099993085861206 microseconds, number of packets 5.5, magnitude 15.756761373685295, radius 132.13762352661524, covariance 10016.909151864447, variance 0.9, and weight 38.5.. I'm not sure if it's just a glitch, but it's making me anxious. What should I do?","
Immediate Steps
To address this issue, try restarting the device and updating its firmware to the latest version. Ensure that all default passwords are changed to strong, unique ones, and disable any unnecessary network services. If the issue persists, consider factory resetting the device after backing up necessary data.

Long-Term Steps
For long-term protection, regularly update the device firmware and security patches. Implement network segmentation to isolate medical devices from other network traffic and utilize a VPN for remote access if needed. Regularly monitor device logs and network traffic for unusual activity. 

Recommendations
Consult the device manufacturer for further guidance and ensure all users are trained in basic cybersecurity practices. Regularly review and update security policies to keep pace with new threats.
",benign
